ab  a p
glaubt  g l au p t
gleich  g l ei ch
gleiche  g l ei ch ex
gleichen  g l ei ch ex n
gleichzeitig  g l ei ch ts ei t i ch
glück  g l ue k
glücklich  g l ue k l i ch
glücklicherweise  g l ue k l i ch er v ei z ex
google  g uh g ex l
grade  g r a d ex
grau  g r au
grauen  g r au ex n
greifen  g r ei f ex n
greift  g r ei f t
grenze  g r e n ts ex
grenzen  g r e n ts ex n
griff  g r i f
grinsen  g r i n z ex n
grob  g r oh p
groß  g r oh s
großartig  g r oh s a er t i ch
große  g r oh s ex
großen  g r oh s ex n
großer  g r oh s er
größer  g r oeh s er
größere  g r oeh s ex r ex
größeren  g r oeh s ex r ex n
großes  g r oh s ex s
größte  g r oeh s t ex
größten  g r oeh s t ex n
grün  g r ueh n
grund  g r u n t
gründe  g r ue n d ex
gründen  g r ue n d ex n
grundlage  g r u n t l a g ex
grundsätzlich  g r u n t z e ts l i ch
grüne  g r ueh n ex
grünen  g r ueh n ex n
gruppe  g r u p ex
grüße  g r ueh s ex
gucken  k u k ex n
guckt  k u k t
günstig  g ue n s t i ch
gut  g uh t
gute  g uh t ex
gutem  g uh t ex m
guten  g uh t ex n
guter  g uh t er
gutes  g uh t ex s
ha  h a
haare  h a r ex
haaren  h a r ex n
hab  h a p
hab  h a p
habe  h a b ex
haben  h a b ex n
habt  h a p t
halb  h a l p
halbe  h a l b ex
halben  h a l b ex n
halbes  h a l b ex s
halbwegs  h a l p v eh k s
hälfte  h e l f t ex
halle  h a l ex
hallo  h a l oh
halt  h a l t
hält  h e l t
halte  h a l t ex
halten  h a l t ex n
hamburg  h a m b u er k
hand  h a n t
handeln  h a n d ex l n
handelt  h a n d ex l t
hängen  h e ng ex n
hängt  h e ng t
happy  h e p ih
hart  h a er t
harte  h a er t ex
hasse  h a s ex
hast  h a s t
hat  h a t
hätt  h e t
hatte  h a t ex
hätte  h e t ex
hatten  h a t ex n
hätten  h e t ex n
häufig  h eu f i ch
häufiger  h eu f i g er
hauptsächlich  h au p t z e ch l i ch
haus  h au s
hause  h au z ex
haut  h au t
heftig  h e f t i ch
heiligen  h ei l i g ex n
heim  h ei m
heimlich  h ei m l i ch
heiraten  h ei r a t ex n
heiß  h ei s
heiße  h ei s ex
heißen  h ei s ex n
heißt  h ei s t
helfen  h e l f ex n
hell  h e l
her  h e er
heraus  h e r au s
herbst  h e er p s t
hergestellt  h er g ex sh t e l t
herrlich  h e er l i ch
herrscht  h e er sh t
herum  h e er r u m
hervor  h e er f o er
hervorragend  h er f o er r a g ex n t
herz  h er ts
herzen  h e er ts ex n
herzlich  h e er ts l i ch
herzlichen  h er ts l i ch ex n
heut  h eu t
heute  h eu t ex
heutige  h eu t i g ex
heutigen  h eu t i g ex n
heutzutage  h eu t ts uh t a g ex
hielt  h ih l t
hier  h ih er
hierbei  h ih er b ei
hiermit  h ih er m i t
hierzu  h ih er ts uh
hierzulande  h ih er ts uh l a n d ex
hieß  h ih s
hihi  h ih h ih
hilfe  h i l f ex
hilfreich  h i l f r ei ch
hilft  h i l f t
hin  h i n
hinauf  h i n au f
hinaus  h i n au s
hinein  h ih n ei n
hingegen  h i n g eh g ex n
hinten  h i n t ex n
hinter  h i n t er
hinterher  h i n t er h e er
hinterlassen  h i n t er l a s ex n
hinweg  h i n v e k
hinweise  h i n v ei z ex
hinzu  h i n ts uh
historischen  h i s t oh r i sh ex n
hoch  h oh xh
höchst  h oeh ch s t
höchste  h oe ch s t ex
höchsten  h oeh ch s t ex n
höchstens  h oeh ch s t ex n s
hoffe  h o f ex
hoffen  h o f ex n
hoffentlich  h o f ex n t l i ch
hohe  h oh ex
hohen  h oh ex n
höher  h oeh er
höhere  h oeh ex r ex
höheren  h oeh ex r ex n
holen  h oh l ex n
holt  h oh l t
homepage  h o w m p ei tsh
hör  h oe er
höre  h oeh r ex
hören  h oeh r ex n
hört  h oeh er t
hörte  h oeh er t ex
http  h a t eh t eh p eh
hübsch  h ue p sh
hübsche  h ue p sh ex
hundert  h u n d er t
ich  i ch
ich's  i ch s
ideal  ih d eh a l
idee  ih d eh
ignorieren  i g n oh r ih er n
ihm  ih m
ihn  ih n
ihnen  ih r ex n
ihr  ih er
ihre  ih r ex
ihrem  ih r ex m
ihren  ih r ex n
ihrer  ih r er
ihres  ih r ex s
im  i m
immer  i m er
immerhin  i m er h i n
in  i n
indem  i n d eh m
individuell  i n d ih v ih d uh e l
informieren  i n f o er m ih r ex n
informiert  i n f o er m ih er t
inhalt  i n h a l t
inklusive  i ng k l uh z ih v ex
innen  i n ex n
innere  i n ex r ex
inneren  i n ex r ex n
innerhalb  i n er h a l p
innerlich  i n er l i ch
ins  i n s
insbesondere  i n s b ex z o n d ex r ex
insgesamt  i n s g ex z a m t
insofern  i n z oh f e er n
intensiv  i n t e n z ih f
interessant  i n t ex r ex s a n t
interessante  i n t ex r ex s a n t ex
interessanten  i n t ex r ex s a n t ex n
interessanter  i n t ex r ex s a n t er
interessieren  i n t ex r ex s ih r ex n
interessiert  i n t ex r ex s ih er t
international  i n t er n a ts j oh n a l
internationale  i n t er n a ts j oh n a l ex
internationalen  i n t er n a ts j oh n a l ex n
internet  i n t er n e t
interview  i n t er v j uh
inzwischen  i n ts v i sh ex n
irgend  i er g ex n t
irgendein  i er g ex n t ei n
irgendeine  i er g ex n t ei n ex
irgendeiner  i er g ex n t ei n er
irgendetwas  i er g ex n t e t v a s
irgendwann  i er g ex n t v a n
irgendwas  i er g ex n t v a s
irgendwelche  i er g ex n t v e l ch ex
irgendwelchen  i er g ex n t v e l ch ex n
irgendwie  i er g ex n t v ih
irgendwo  i er g ex n t v oh
irre  i r ex
islamischen  ih s l a m i sh ex n
israelischen  ih s r a eh l i sh ex n
ist  i s t
ja  j a
jahr  j a er
jahrelang  j a r ex l a ng
jahrhundert  j a er h u n d er t
januar  j a n uh a er
je  j eh
jede  j eh d ex
jedem  j eh d ex m
jeden  j eh d ex n
jedenfalls  j eh d ex n f a l s
jeder  j eh d er
jederzeit  j eh d er ts ei t
jedes  j eh d ex s
jedoch  j eh d o xh
jegliche  j eh k l i ch ex
jemals  j eh m a l s
jemand  j eh m a n t
jemandem  j eh m a n d ex m
jemanden  j eh m a n d ex n
jene  j eh n ex
jenen  j eh n ex n
jener  j eh n er
jenes  j eh n ex s
jenseits  j eh n z ei ts
jetzt  j e ts t
jeweilig  j eh v ei l i ch
jeweiligen  j eh v ei l i g ex n
jeweils  j eh v ei l s
jüdische  j ueh d i sh ex
jüdischen  j ueh d i sh ex n
jugendliche  j uh g ex n t l i ch ex
jugendlichen  j uh g ex n t l i ch ex n
juli  j uh l ih
jung  j u ng
junge  j u ng ex
jungen  j u ng ex n
junger  j u ng er
juni  j uh n ih
just  j u s t
kalt  k a l t
kalte  k a l t ex
kalten  k a l t ex n
kam  k a m
käme  k eh m ex
kamen  k a m ex n
kampf  k a m pf
kämpfen  k e m pf ex n
kann  k a n
kannst  k a n s t
kannte  k a n t ex
kaputt  k a p u t
karte  k a er t ex
käse  k eh z ex
kauf  k au f
kaufe  k au f ex
kaufen  k au f ex n
kauft  k au f t
kaum  k au m
kein  k ei n
keine  k ei n ex
keinem  k ei n ex m
keinen  k ei n ex n
keiner  k ei n er
keinerlei  k ei n er l ei
keinesfalls  k ei n ex s f a l s
keineswegs  k ei n ex s v eh k s
kenne  k e n ex
kennen  k e n ex n
kennengelernt  k e n ex n g ex l er n t
kennt  k e n t
kg  k ih l oh g r a m
kind  k i n t
kirche  k ih er ch ex
klang  k l a ng
klappt  k l a p t
klar  k l a er
klare  k l a r ex
klaren  k l a r ex n
klasse  k l a s ex
klassische  k l a s i sh ex
klassischen  k l a s i sh ex n
klein  k l ei n
kleine  k l ei n ex
kleinen  k l ei n ex n
kleiner  k l ei n er
kleinere  k l ei n ex r ex
kleines  k l ei n ex s
klettern  k l e t er n
klingen  k l i ng ex n
klingt  k l i ng t
km  k ih l oh m eh t er
knapp  k n a p
knie  k n ih
koalition  k oh a l ih ts j oh n
koch  k o xh
kochen  k o xh ex n
komisch  k oh m i sh
komm  k o m
komme  k o m ex
kommen  k o m ex n
kommenden  k o m ex n d ex n
kommst  k o m s t
kommt  k o m t
komplett  k o m p l e t
komplette  k o m p l e t ex
kompliziert  k o m p l ih ts ih er t
konkret  k o ng k r eh t
könne  k oe n ex
können  k oe n ex n
könnt  k oe n t
könnt  k oe n t
konnte  k o n t ex
könnte  k oe n t ex
konnten  k o n t ex n
könnten  k oe n t ex n
konrolle  k o n t r o l ex
konsequent  k o n z ex k v e n t
kontakt  k o n t a k t
konzentrieren  k o n ts ex n t r ih er n
konzept  k o n ts e p t
kopf  k o pf
korrekt  k o r e k t
kosten  k o s t ex n
kostenlos  k o s t ex n l oh s
kostet  k o s t ex t
kraft  k r a f t
kräftig  k r e f t i ch
krank  k r a ng k
kreuz  k r eu ts
krieg  k r ih k
kriege  k r ih g ex
kriegen  k r ih g ex n
kriegt  k r ih k t
krise  k r ih z ex
kritik  k r i t ih k
kritisch  k r ih t i sh
kümmern  k ue m er n
kümmert  k ue m er t
kunde  k u n d ex
künftig  k ue n f t i ch
kurs  k u er s
kurz  k u er ts
kurze  k u er ts ex
kurzem  k u er ts ex m
kurzen  k u er ts ex n
kurzer  k u er ts er
kürzlich  k ue er ts l i ch
lach  l a xh
lächeln  l e ch ex l n
lachen  l a xh ex n
lächerlich  l e ch er l i ch
lacht  l a xh t
laden  l a d ex n
lag  l a k
lagen  l a g ex n
land  l a n t
landen  l a n d ex n
lang  l a ng
lange  l a ng ex
langem  l a ng ex m
langen  l a ng ex n
langer  l a ng er
länger  l e ng er
längere  l e ng ex r ex
langsam  l a ng z a m
längst  l e ng s t
langweilig  l a ng v ei l i ch
las  l a s
lass  l a s
lass  l a s
lasse  l a s ex
lassen  l a s ex n
lasst  l e s t
lässt  l e s t
last  l a s t
lauf  l au f
laufe  l au f ex
laufen  l au f ex n
laufenden  l au f ex n d ex n
läuft  l eu f t
laut  l au t
lauter  l au t er
lautet  l au t ex t
lebe   l eh b ex
leben  l eh b ex n
lebt  l eh p t
lecker  l e k er
lediglich  l eh d i k l i ch
leer  l eh er
leere  l eh r ex
leeren  l eh r ex n
lege  l eh g ex
legen  l eh g ex n
legt  l eh k t
legte  l eh k t ex
lehnen  l eh n ex n
leicht  l ei ch t
leichte  l ei ch t ex
leichter  l ei ch t er
leid  l ei t
leiden  l ei d ex n
leider  l ei d er
leidet  l ei d ex t
leise  l ei z ex
leisten  l ei s t ex n
leistung  l ei s t u ng
lernen  l e er n ex n
lernt  l e er n t
lese  l eh z ex
lesen  l eh z ex n
letzte  l e ts t ex
letzten  l e ts t ex n
letztendlich  l e ts t e n t l i ch
letztens  l e ts t ex n s
letzter  l e ts t er
letztes  l e ts t ex s
letztlich  l e ts t l i ch
leute   l eu t ex
licht  l i ch t
lieb  l ih p
liebe  l ih b ex
lieben  l ih b ex n
lieber  l ih b er
liebevoll  l ih b ex f o l
liebsten  l ih p s t ex n
liebt  l ih p t
lief  l ih f
liefern  l ih f er n
liefert  l ih f er t
liege  l ih g ex
liegen  l ih g ex n
liegt  l ih k t
ließ  l ih s
ließen  l ih s ex n
liest  l ih s t
lila  l ih l a
linie  l ih n ih ex
linke  l i ng k ex
linken  l i ng k ex n
links  l i ng k s
liste  l i s t ex
live  l ei f
locker  l o k er
logisch  l oh g i sh
lohnt  l oh n t
los  l oh s
löschen  l oe sh ex n
lösen  l oeh z ex n
lösung  l oeh z u ng
lügen  l ueh g ex n
lustig  l u s t i ch
lustige  l u s t i g ex
mach  m a xh
mache  m a xh ex
machen  m a xh ex n
machst  m a xh s t
macht  m a xh t
machte  m a xh t ex
machten  m a xh t ex n
mächtig  m e ch t i ch
mädchen  m eh t ch ex n
mag  m a k
mai  m ei
mal  m a l
male  m a l ex
man  m a n
manch  m a n ch
manche  m a n ch ex
manchen  m a n ch ex n
mancher  m a n ch er
manches  m a n ch ex s
manchmal  m a n ch m a l
mann  m a n
mannschaft  m a n sh a f t
markt  m a er k t
märz  m er ts
maß  m a s
massiv  m a s i f
maßnahme  m a s n a m ex
material  m a t ex r ih a l
medium  m eh d ih u m
mehr  m e er
mehrere  m eh r ex r ex
mehreren  m eh r ex r ex n
mehrfach  m e er f a xh
mehrheit  m e er h ei t
mehrmals  m er m a l s
mein  m ei n
meine  m ei n ex
meinem  m ei n ex m
meinen  m ei n ex n
meiner  m ei n er
meines  m ei n ex s
meinst  m ei n s t
meint  m ei n t
meinte  m ei n t ex
meist  m ei s t
meiste  m ei s t ex
meisten  m ei s t ex n
meistens  m ei s t ex n s
melden  m e l d ex n
meldet  m e l d ex t
menge  m e ng ex
mensch  m e n sh
menschliche  m e n sh l i ch ex
menschlichen  m e n sh l i ch ex n
merke  m e er k ex
merken  m e er k ex n
merkt  m e er k t
merkwürdig  m er k v ue er d i ch
meter  m eh t er
mich  m i ch
milliarde  m i l j a er d ex
million  m i l j oh n
min  m i n
mindestens  m i n d ex s t ex n s
mir  m ih er
mit  m i t
mitbekommen  m i t b ex k o m ex n
miteinander  m i t ei n a n d er
mitgebracht  m i t g ex b r a xh t
mitgenommen  m i t g ex n o m ex n
mitglied  m i t g l ih t
mitmachen  m i t m a xh ex n
mitnehmen  m i t n eh m ex n
mittags  m i t a k s
mittel  m i t ex l
mitteln  m i t ex l n
mittels  m i t ex l s
mitten  m i t ex n
mittlerweile  m i t l er v ei l ex
mittwoch  m i t v o ch
mochte  m o xh t ex
möchte  m oe ch t ex
möchten  m oe ch t ex n
model  m o d ex l
modell  m oh d e l
moderne  m o d e er n ex
modernen  m oh d er n ex n
möge  m oeh g ex
mögen  m oeh g ex n
möglich  m oeh k l i ch
mögliche  m oeh k l i ch ex
möglichen  m oeh k l i ch ex n
möglicherweise  m oeh k l i ch er v ei z ex
möglichkeit  m oeh k l i ch k ei t
möglichst  m oeh k l i ch s t
momentan  m oh m ex n t a n
monat  m oh n a t
mond  m oh n t
montag  m oh n t a k
morgen  m o er g ex n
morgens  m o er g ex n s
müde  m ueh d ex
mühe  m ueh ex
münchen  m ue n ch ex n
museum  m uh z eh u m
musik  m uh z ih k
muss  m u s
müsse  m ue s ex
müssen  m ue s ex n
musst  m u s t
müsst  m ue s t
musste  m u s t ex
müsste  m ue s t ex
mussten  m u s t ex n
müssten  m ue s t ex n
mutter  m u t er
na  n a
nach  n a xh
nachdem  n a xh d eh m
nachdenken  n a xh d e ng k ex n
nachfrage  n a xh f r a g ex
nachher  n a xh h e er
nachmittags  n a xh m i t a k s
nachricht  n a xh r i ch t
nächste  n eh ch s t ex
nächsten  n eh ch s t ex n
nächster  n eh ch s t er
nächstes  n eh ch s t ex s
nacht  n a xh t
nachts  n a xh ts
nachvollziehen  n a xh f o l ts ih ex n
nah  n a
nahe  n a ex
nähe  n eh ex
nahen  n a ex n
nähen  n eh ex n
näher  n e er
nahezu  n a ex ts uh
nahm  n a m
nahmen  n a m ex n
name  n a m ex
namens  n a m ex n s
nämlich  n eh m l i ch
natürlich  n a t ueh er l i ch
ne  n ex
neben  n eh b ex n
nebenbei  n eh b ex n b ei
nee  n eh
negativ  n eh g a t ih f
nehme  n eh m ex
nehmen  n eh m ex n
nein  n ei n
nenne  n e n ex
nennen  n e n ex n
nennt  n e n t
nerven  n e er f ex n
nervt  n er f t
nett  n e t
nette  n e t ex
netten  n e t ex n
netter  n e t er
neu  n eu
neue  n eu ex
neuen  n eu ex n 
neuer  n eu er
neues  n eu ex s
neuesten  n eu ex s t e n
neugierig  n eu g ih r i ch
neulich  n eu l i ch
neun  n eu n
nicht  n i ch t
nichts  n i ch ts
nie  n ih
niemals  n ih m a l s
niemand  n ih m a n t
niemanden  n ih m a n d ex n
nimmt  n i m t
noch  n o xh
nochmal  n o xh m a l
nochmals  n o xh m a l s
norden  n o er d ex n
normal  n oh er m a l
normale  n o er m a l ex
normalen  n o er m a l ex n
normalerweise  n o er m a l er v ei z ex
nötig  n oeh t i ch
notwendig  n oh t v e n d i ch
november  n oh v e m b er
null  n u l
nun  n uh n
nur  n uh er
nutzen  n u ts ex n
nutzt  n u ts t
ob  o p
oben  oh b ex n
oberen  oh b ex r ex n
obwohl  o p v oh l
oder  oh d er
offen  o f ex n
offenbar  o f ex n b a er
offene  o f ex n ex
offenen  o f ex n ex n
offensichtlich  o f ex n z i ch t l i ch
öffentlich  oe f ex n t l i ch
öffentliche  oe f ex n t l i ch ex
öffentlichen  oe f ex n t l i ch ex n
offiziell  o f ih ts j e l
offiziellen  o f ih ts j e l ex n
öffnen  oe f n ex n
öffnet  oe f n ex t
oft  o f t
öfter  oe f t er
oftmals  o f t m a l s
oh  oh
ohne  oh n ex
ohnehin  oh n ex h i n
okay  oh k e j
oktober  o k t oh b er
online  o n l ei n
opfer  o pf er
orange  o r a ng zh ex
ordentlich  o er d ex n t l i ch
organisiert  o er g a n ih z ih er t
original  oh r ih g ih n a l
orte  o er t ex
orten  o er t ex n
österreich  oeh s t er r ei ch
out  au t
paar  p a er
packen  p a k ex n
papier  p a p ih er
parlament  p a er l a m e n t
partei  p a er t ei
partie  p a er t ih
partner  p a er t n ex er
passen  p a s ex n
passend  p a s ex n t
passende  p a s ex n d ex
passenden  p a s ex n d ex n
passieren  p a s ih r ex n
passiert  p a s ih er t
passt  p a s t
pause  p au z ex
peinlich  p ei n l i ch
per  p e er
perfekt  p e er f e k t
perfekte  p er f e k t ex
person  p er z oh n
personal  p er z oh n a l
persönlich  p e er z oeh n l i ch
persönliche  p e er z oeh n l i ch ex
persönlichen  p e er z oeh n l i ch ex n
pflanzen  pf l a n ts ex n
pflege  pf l eh g ex
plan  p l a n
planen  p l a n ex n
platte  p l a t ex
platz  p l a ts
pleite  p l ei t ex
plötzlich  p l oe ts l i ch
plus  p l u s
politisch  p oh l ih t i sh
politische  p oh l ih t i sh ex
politischen  p oh l ih t i sh ex n
polizei  p oh l ih ts ei
position  p oh z i ts j oh n
positiv  p oh z ih t ih f
positive  p oh z ih t ih v ex
positiven  p oh z ih t ih v ex n
post  p o s t
praktisch  p r a k t i sh
präsentieren  p r eh z e n t ih er n
präsentiert  p r e z ex n t ih er t
präsident  p r e z ih d e n t
preis  p r ei s
preise  p r ei z ex
presse  p r e s ex
prima  p r ih m a
privat  p r ih v a t
private  p r ih v a t ex
privaten  p r ih v a t ex n
pro  p r oh
probieren  p r oh b ih er n
probiert  p r oh b ih er t
problem  p r oh b l eh m
problemlos  p r oh b l eh m l oh s
produkt  p r oh d u k t
produziert  p r oh d uh ts ih er t
profitieren  p r oh f ih t ih er n
projekt  p r oh j e k t
prozent  p r oh ts e n t
prozess  p r oh ts e s
prüfen  p r ueh f ex n
punkt  p u ng k t
punkte  p u ng k t ex
punkten  p u ng k t ex n
pünktlich  p ue ng k t l i ch
putzen  p u ts ex n
qualität  k v a l ih t eh t
quasi  k v a z ih
quelle  k v e l ex
quellen  k v e l ex n
quer  k v eh er
rahmen  r a m ex n
ran  r a n
rasch  r a sh
rauchen  r au xh ex n
raus  r au s
reagieren  r eh q a g ih r ex n
reagiert  r eh q a g ih er t
reaktion  r eh a k ts j oh n
real  r eh q a l
realen  r eh a l ex n
rechnen  r e ch n ex n
recht  r e ch t
rechte  r e ch t ex
rechten  r e ch t ex n
rechts  r e ch ts
rechtzeitig  r e ch t ts ei t i ch
rede  r eh d ex
reden  r eh d ex n
redet  r eh d ex t
reduzieren  r e d uh ts ih er n
reduziert  r ex d uh ts ih er t
regelmäßig  r eh g ex l m eh s i ch
regeln  r eh g ex l n
regen  r eh g ex n
regierung  r ex g ih r u ng
region  r eh g j o n
reich  r ei ch
reichen  r ei ch ex n
reichlich  r ei ch l i ch
reicht  r ei ch t
reihe  r ei ex
reihen  r ei ex n
rein  r ei n
reine  r ei n ex
reise  r ei z ex
reisen  r ei z ex n
relativ  r e l a t i f
rennen  r e n ex n
restlichen  r e s t l i ch ex n
retten  r e t ex n
richten  r i ch t ex n
richtig  r i ch t i ch
richtige  r i ch t i g ex
richtigen  r i ch t i g ex n
riecht  r ih ch t
rief  r ih f
riesig  r ih z i ch
riesige  r ih z i g ex
riesigen  r ih z i g ex n
rolle  r o l ex
rollen  r o l ex n
rosa  r oh z a
rosen  r oh z ex n
rot  r oh t
rote  r oh t ex
roten  r oh t ex n
rüber  r ueh b er
rücken  r ue k ex n
ruf  r uh f
rufen  r uh f ex n
ruft  r uh f t
ruhe  r uh ex
ruhig  r uh i ch
rühren  r ueh r ex n
rund  r u n t
runde  r u n d ex
runden  r u n d ex n
runter  r u n t er
russisch  r u s i sh
sache  z a xh ex
sag  z a k
sage  z a g ex
sagen  z a g ex n
sagt  z a k t
sagte  z a k t ex
sah  z a
sahen  s a ex n
sahne  z a n ex
saison  s eh z o n
sammeln  z a m ex l n
samstag  z a m s t a k
samt  z a m t
sämtliche  z e m t l i ch ex
sanft  z a n f t
saß  z a s
saßen  z a s ex n
satt  z a t
sauber  z au b er
sauer  z au er
schade  sh a d ex
schaden  sh a d ex n
schaffe  sh a f ex
schaffen  sh a f ex n
schafft  sh a f t
scharf  sh a er f
schätze  sh e ts ex
schätzen  sh e ts ex n
schau  sh au
schaue  sh au ex
schauen  sh au ex n
schaut  sh au t
schaute  sh au t ex
scheinbar  sh ei n b a er
scheinen  sh ei n ex n
scheint  sh ei n t
scheiß  sh ei s
scheiße  sh ei s ex
scheitern  sh ei t er n
schenken  sh e ng k ex n
schicken  sh i k ex n
schickt  sh i k t 
schieben  sh ih b ex n
schief  sh ih f
schien  sh ih n
schiff  sh i f
schlafen  sh l a f ex n
schläft  sh l eh f t
schlag  sh l a k
schlagen  sh l a g ex n
schlägt  sh l eh k t
schlecht  sh l e ch t
schlechte  sh l e ch t ex
schlechten  sh l e ch t ex n
schlechter  sh l e ch t er
schlechtes  sh l e ch t ex s
schlicht  sh l i ch t
schließen  sh l ih s ex n
schließlich  sh l ih s l i ch
schließt  sh l ih s t
schlimm  sh l i m
schlimmer  sh l i m er
schlimmsten  sh l i m s t ex n
schloss  sh l o s
schlug  sh l u k
schmecken  sh m e k ex n
schmeckt  sh m e k t
schmerzen  sh m e er ts ex n
schneiden  sh n ei d ex n
schnell  sh n e l
schnelle  sh n e l ex
schneller  sh n e l er
schnitt  sh n i t
schon  sh oh n
schön  sh oeh n
schöne  sh oeh n ex
schönen  sh oeh n ex n
schöner  sh oeh n er
schönes  sh oeh n ex s
schönste  sh oeh n s t ex
schönsten  sh oeh n s t ex n
schrecklich  sh r e k l i ch
schreibe  sh r ei b ex
schreiben  sh r ei b ex n
schreibt  sh r ei p t
schreien  sh r ei ex n
schrieb  sh r ih p
schritt  sh r i t
schritte  sh r i t ex
schuld  sh u l t
schulden  sh u l d ex n
schule  sh uh l ex
schulen  sh uh l ex n
schüler  sh ueh l er
schulter  sh u l t er
schultern  sh u l t er n
schützen  sh ue ts ex n
schwach  sh v a xh
schwarz  sh v a er ts
schwarze  sh v a er ts ex
schwarzen  sh v a er ts ex n
schweigen  sh v ei g ex n
schwer  sh v e er
schwere  sh v eh r ex
schweren  sh v eh r ex n
schwerer  sh v eh r er
schwierig  sh v ih r i ch
schwieriger  sh v ih r i g er
schwimmen  sh v i m ex n
sechs  z e k s
see  z eh
seh  z eh
sehe  z eh ex
sehen  z eh ex n
sehnsucht  z eh n z u xh t
sehr  z e er
seht  z eh t
sei  z ei
seid  z ei t
seien  z ei ex n
sein  z ei n
seine  z ei n ex
seinem  z ei n ex m
seinen  z ei n ex n
seiner  z ei n er
seines  z ei n ex s
seit  z ei t
seitdem  z ei t d eh m
seite  z ei t ex
selben  z e l b ex n
selber  z e l b er
selbst  z e l p s t
selbstverständlich  z e l p s t f er sh t e n t l i ch
selten  z e l t ex n
seltsam  z e l t z a m
september  z e p t e m b er
setzen  z e ts ex n
setzt  z e ts t
setzte  z e ts t ex
sich  z i ch
sicher  z i ch er
sicherlich  z i ch er l i ch
sichern  z i ch er n
sichtbar  z i ch t b a er
sie  z ih
sieben  z ih b ex n
siehe  z ih ex
siehst  z ih s t
sieht  z ih t
sind  z i n t
singen  z i ng ex n
sinken  z i ng k ex n
sinne  z i n ex
sinnvoll  z i n f o l
situation  z ih t uh a ts j oh n
sitze  z i t ts ex
sitzen  z i ts ex n
sitzt  z i ts t
so  z oh
sobald  z oh b a l t
sodass  z oh d a s
sofern  z oh f er n
sofort  z oh f o er t
sog  z o k
sogar  z oh g a er
sogenannte  z oh g ex n a n t ex
sogenannten  z oh g ex n a n t ex n
solange  z oh l a ng ex
solch  z o l ch
solche  z o l ch ex
solchen  z o l ch ex n
solcher  z o l ch er
solches  z o l ch ex s
soll  z o l
solle  z o l ex
sollen  z o l ex n
sollte  z o l t ex
sollten  z o l t ex n
solltest  z o l t ex s t
somit  z oh m i t
sommer  z o m er
sonderlich  z o n d er l i ch
sondern  z o n d er n
sonne  z o n ex
sonntag  z o n t a k
sonst  z o n s t
sorge  z o er g ex
sorgen  z o er g ex n
sorgt  z o er k t
soviel  z oh f ih l
soweit  z oh v ei t
sowie  z oh v ih
sowieso  z oh v ih z oh
sowohl  z oh v oh l
soziale  z oh ts j a l ex
sozialen  z o ts j a l ex n
sozusagen  z oh ts uh z a g ex n
spannend  sh p a n ex n t
spannende  sh p a n ex n d ex
sparen  sh p a r ex n
spaß  sh p a s
spät  sh p eh t
später  sh p eh t er
spätestens  sh p eh t ex s t ex n s
spazieren  sh p a ts ih er n
sperren  sh p e r ex n
speziell  sh p eh ts j e l
spezielle  sh p eh ts j e l ex
speziellen  sh p eh ts j e l ex n
spiegel  sh p ih g ex l
spiele  sh p ih l ex
spielen  sh p ih l ex n
spieler  sh p ih l er
spielt  sh p ih l t
spielte  sh p ih l t ex
spitze  sh p i ts ex
spontan  sh p o n t a n
sprach  sh p r a xh
sprachen  sh p r a xh ex n
sprechen  sh p r e ch ex n
sprich  sh p r i ch
spricht  sh p r i ch t
springen  sh p r i ng ex n
spuren  sh p uh r ex n
spüren  sh p ueh r ex n
staat  sh t a t
stadt  s t a t
stammen  sh t a m ex n
stammt  sh t a m t
stand  sh t a n t
standen  sh t a n d ex n
ständig  sh t e n d i ch
starb  sh t a er p
stark  sh t a er k
starke  sh t a er k ex
stärke  sh t er k ex
starken  sh t a er k ex n
stärker  sh t e er k er
starten  sh t a er t ex n
statt  sh t a t
stattdessen  sh t a t d e s ex n
stattfinden  s t a t f i n d ex n
stecken  sh t r e k ex n
steckt  sh t e k t
stehe  sh t eh ex
stehen  sh t eh ex n
steht  sh t eh t
steigen  sh t ei g ex n
steigt  sh t ei k t
stelle  sh t e l ex
stellen  sh t e l ex n
stellt  sh t e l t
stellte  sh t e l t ex
sterben  sh t e er b ex n
stets  sh t eh ts
steuern  sh t eu er n
stieg  sh t ih k
still  sh t i l
stille  sh t i l ex
stillen  sh t i l ex n
stimme  sh t i m ex
stimmen  sh t i m ex n
stimmt  sh t i m t
stirbt  sh t i er p t
stolz  sh t o l ts
stören  sh t oeh er n
stört  sh t oeh er t
stoßen  sh t oh s ex n
strafe  sh t r a f ex
straße  sh t r a s ex
strecke  sh t r e k ex
streichen  sh t r ei ch ex n
streifen  sh t r ei f ex n
streit  sh t r ei t
streng  sh t r e ng
stricken  sh t r i k ex n
studieren  sh t uh d ih er n
stufe  sh t uh f ex
stunde  sh t u n d ex
stunden  sh t u n d ex n
stundenlang  sh t u n d ex n l a ng
suche  z uh xh ex
suchen  z uh xh ex n
sucht  z u xh t
suchte  z uh xh t ex
super  z uh p er
süß  z ueh s
süße  z ueh s ex
süßen  z ueh s ex n
sympathisch  z ue m p a t i sh
system  z i s t eh m
tag  t a k
tage  t a g ex
tagen  t a g ex n
täglich  t eh k l i ch
tagsüber  t a k s ueh b er
tanzen  t a n ts ex n
tat  t a t
taten  t a t ex n
täter  t eh t er
